Song Name,Song Link,Artist,CD,holla,crunk
Do You Really Like It? - Radio Edit,https://open.spotify.com/track/4Mnw05kNd0j1XDHwtfzofp,DJ Pied Piper & The Masters Of Ceremonies,False,False,False
Dilemma,https://open.spotify.com/track/0ARK753YaiJbpLUk7z5yIM,"Nelly, Kelly Rowland",False,False,False
Without Me,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,Eminem,False,False,False
Complicated,https://open.spotify.com/track/5xEM5hIgJ1jjgcEBfpkt2F,Avril Lavigne,False,False,False
A Thousand Miles,https://open.spotify.com/track/4w1lzcaoZ1IC2K5TwjalRP,Vanessa Carlton,False,False,False
Wherever You Will Go,https://open.spotify.com/track/5QpaGzWp0hwB5faV8dkbAz,The Calling,False,False,False
Underneath Your Clothes,https://open.spotify.com/track/15f8Cv8RXUlOOCIf2oaceN,Shakira,False,False,False
Underneath It All,https://open.spotify.com/track/6fR6Z0Vc1K6yQWNUIKjAIR,"No Doubt, Lady Saw",False,False,False
In the End,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,False,False,False
The Scientist,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,Coldplay,False,False,False
Till I Collapse,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS,"Eminem, Nate Dogg",False,False,False
Can't Stop,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,Red Hot Chili Peppers,False,False,False
Hot In Herre,https://open.spotify.com/track/04KTF78FFg8sOHC1BADqbY,Nelly,False,False,False
Sk8er Boi,https://open.spotify.com/track/00Mb3DuaIH1kjrwOku9CGU,Avril Lavigne,False,False,False
Don't Know Why,https://open.spotify.com/track/1zNXF2svmdlNxfS5XeNUgr,Norah Jones,False,False,False
Clocks,https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns,Coldplay,False,False,False
Foolish,https://open.spotify.com/track/6zMUIb4uce1CzpbjR3vMdN,Ashanti,False,False,False
What's Luv? (feat. Ja-Rule & Ashanti),https://open.spotify.com/track/2mKouqwAIdQnMP43zxR89r,"Fat Joe, Ja Rule, Ashanti",False,False,False
My Sacrifice,https://open.spotify.com/track/2VSbEXqs6NbNiZSTcHlIDR,Creed,False,False,False
Cleanin' Out My Closet,https://open.spotify.com/track/7BMO7O7ImjV8HNTH74Tshv,Eminem,True,False,False
U Got It Bad,https://open.spotify.com/track/7J41dYQolQJEtj3UmKLu5r,USHER,False,False,False
By the Way,https://open.spotify.com/track/1f2V8U1BiWaC9aJWmpOARe,Red Hot Chili Peppers,False,False,False
In My Place,https://open.spotify.com/track/2nvC4i2aMo4CzRjRflysah,Coldplay,False,False,False
I Know What You Want (feat. Flipmode Squad),https://open.spotify.com/track/0YImOCkIJ2PWhCXaURCZnY,"Busta Rhymes, Mariah Carey, Flipmode Squad",False,True,False
She Hates Me,https://open.spotify.com/track/16DhvbuyvJob4Q9GHNYu2n,Puddle Of Mudd,False,False,False
Get the Party Started,https://open.spotify.com/track/02jcEwywffn3Tsb48fXmlW,P!nk,False,False,False
Work It,https://open.spotify.com/track/3jagJCUbdqhDSPuxP8cAqF,Missy Elliott,False,False,False
Rock The Boat,https://open.spotify.com/track/0qvlhVNm7L5IWabWF5hlEL,Aaliyah,False,False,False
"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine, Mario Winans]",https://open.spotify.com/track/6Wt5QBzHp9vdSLAFlvdnDQ,"Diddy, Ginuwine, Loon, Mario Winans",False,False,False
Dirrty,https://open.spotify.com/track/59ZTxQo8rBycIXPLUIKvE2,"Christina Aguilera, Redman",False,False,False
Landslide,https://open.spotify.com/track/5hviCr3lgg6LY6noG6DPKs,The Chicks,False,False,False
The Ketchup Song (Aserejé) - Spanglish Version,https://open.spotify.com/track/6UEfyhyfhYQsyipxOd95Ie,Las Ketchup,False,False,False
Hero (feat. Josey Scott),https://open.spotify.com/track/779ooI3rBd0CLqCiiJmtVo,"Chad Kroeger, Josey Scott",False,False,False
Oh Boy,https://open.spotify.com/track/4X1odWLrLSSahaK6Hi15AA,"Cam'ron, Juelz Santana",False,True,False
Somethin' Stupid,https://open.spotify.com/track/4kSKacywUJHdhyst4PL6pl,"Robbie Williams, Nicole Kidman",False,False,False
Just Like a Pill,https://open.spotify.com/track/1BpV8IGf4XsRRJf4Xuui9q,P!nk,False,False,False
Blurry,https://open.spotify.com/track/0FLBNqc5oAiTt4J2e3fe3y,Puddle Of Mudd,False,False,False
Always On Time,https://open.spotify.com/track/2lXJr5BkUPZpQUV2ZGN1Wv,"Ja Rule, Ashanti",False,True,False
I Need a Girl (Pt. 1) [feat. Usher & Loon],https://open.spotify.com/track/7lVNTXkI3cHFvcXiI8damb,"Diddy, Loon, USHER",False,False,False
Heaven,https://open.spotify.com/track/72SpPFrMYCXLB3Fbw9tEgf,"DJ Sammy, Yanou, Do",False,False,False
Still Fly,https://open.spotify.com/track/563vSy3HB5NHxel1VGQCW6,Big Tymers,False,False,False
