"","word","n","Year"
"756","marry",5,2000
"757","mask",5,2000
"758","meek",5,2000
"759","middle",5,2000
"760","million",5,2000
"761","missin",5,2000
"762","motherfucker",5,2000
"763","nick",5,2000
"764","noise",5,2000
"765","outta",5,2000
"766","overseas",5,2000
"767","pablo",5,2000
"768","perfume",5,2000
"769","person",5,2000
"770","pistolz",5,2000
"771","pitiful",5,2000
"772","prayer",5,2000
"773","prince",5,2000
"774","promises",5,2000
"775","pussy",5,2000
"776","quit",5,2000
"777","racist",5,2000
"778","rappers",5,2000
"779","realized",5,2000
"780","rhyme",5,2000
"781","rich",5,2000
"782","rikshaw",5,2000
"783","rollercoaster",5,2000
"784","rollin",5,2000
"785","rose",5,2000
"786","rough",5,2000
"787","rush",5,2000
"788","screaming",5,2000
"789","sea",5,2000
"790","separate",5,2000
"791","shy",5,2000
"792","signs",5,2000
"793","slittin",5,2000
"794","smoke",5,2000
"795","space",5,2000
"796","spit",5,2000
"797","standing",5,2000
"798","starts",5,2000
"799","strength",5,2000
"800","summer",5,2000
"801","super",5,2000
"802","surprised",5,2000
"803","t.i",5,2000
"804","tang",5,2000
"805","throw",5,2000
"806","trick",5,2000
"807","veil",5,2000
"808","walked",5,2000
"809","watched",5,2000
"810","workin",5,2000
"811","wu",5,2000
"812","wyclef",5,2000
"813","yea",5,2000
"814","11",4,2000
"815","12",4,2000
"816","15",4,2000
"817","19",4,2000
"818","26",4,2000
"819","6",4,2000
"820","7ths",4,2000
"821","aah",4,2000
"822","adams",4,2000
"823","amazed",4,2000
"824","amazing",4,2000
"825","anderson",4,2000
"826","angels",4,2000
"827","anna",4,2000
"828","aoife",4,2000
"829","bed",4,2000
"830","belongs",4,2000
"831","biggest",4,2000
"832","bitches",4,2000
"833","bodied",4,2000
"834","bomb",4,2000
"835","bones",4,2000
"836","boogie",4,2000
"837","bother",4,2000
"838","bottle",4,2000
"839","bud",4,2000
"840","buddy",4,2000
"841","building",4,2000
"842","bun",4,2000
"843","cali",4,2000
"844","calls",4,2000
"845","cars",4,2000
"846","cash",4,2000
"847","cheb",4,2000
